id,campaign_id,social_account_id,added_at,auto_publish
2ea4145c-06b5-4cc5-a12e-4bbebf1fb2e0,4286a2db-10f8-42d5-84a6-6029887121d1,f7e9fed0-4ed0-467e-ac02-bf140adae7ed,2026-03-25 13:15:35.014241,t
b86ab1c6-9b27-4031-9bb2-cb85f839301c,2cdafb53-0d4c-4588-aaec-4b93a37db784,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-03-25 13:37:47.710052,t
3148fdf8-cc3d-4307-8a65-a004410566c8,2cdafb53-0d4c-4588-aaec-4b93a37db784,f7e9fed0-4ed0-467e-ac02-bf140adae7ed,2026-03-25 13:37:47.710052,t
64fc04f5-ccd4-4bfd-a52e-9fc73595409b,2cdafb53-0d4c-4588-aaec-4b93a37db784,f51792f4-cde1-4df4-85a5-f70b874d79a6,2026-03-25 13:37:47.710052,t
05bfc38c-674d-4149-ab8c-9b8e879f7e2a,b2289b9c-7f8a-410d-aef4-9aecbb185ae0,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-03-25 22:11:42.71181,t
7ad6b6a1-31ac-4ea8-bf71-df862827c19a,b2289b9c-7f8a-410d-aef4-9aecbb185ae0,f7e9fed0-4ed0-467e-ac02-bf140adae7ed,2026-03-25 22:11:42.71181,t
e5c3459c-5401-4fc7-a370-3ee88ad18892,b2289b9c-7f8a-410d-aef4-9aecbb185ae0,f51792f4-cde1-4df4-85a5-f70b874d79a6,2026-03-25 22:11:42.71181,t
d221f4a3-c24a-4c3c-955e-91d4df9a7f2d,b2289b9c-7f8a-410d-aef4-9aecbb185ae0,b5fb6824-d40c-4834-bcf6-8c41474c47a5,2026-03-25 22:11:42.71181,t
56474aa1-696e-445c-9cc9-3f4deefe6902,09d553f7-e831-4b8b-8d29-d59b8ceea698,69cf2e25-8123-458a-96c7-97cebac1804f,2026-03-26 13:44:27.770242,t
73611c31-b5b0-4905-82b3-01435094b73e,60314299-d604-4b8a-a5ee-1cfb94d36212,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-03-26 23:24:53.061917,t
e9c96a7b-e1fc-4619-a8ed-c7671a107925,9f5bdbb2-7a46-488f-96d8-ef8bcbf97149,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-06-19 16:08:48.827076,t
