id,tenant_domain,market_id,date,source,medium,campaign,sessions,users,conversions,revenue,orbit_clicks,created_at
64ac1892-0f92-49e0-aff9-ff8568ce39ba,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,2026-06-25,linkedin,social,copilot-cowork-for-pe-portfolio-productivity,0,0,0,0,1,2026-06-26 01:07:15.773412
0fc03959-33a3-415d-872b-6b1f43c5cf2f,synozur.com,,2026-06-25,(direct),(none),(direct),37,37,0,0,0,2026-06-26 16:28:56.687771
2ceb4818-56d5-4d66-ae01-fa4457ca1342,synozur.com,,2026-06-25,facebook,social,polaris-055,8,6,0,0,0,2026-06-26 16:28:56.687771
b85a62c4-f045-4ead-9bda-79f55ac53688,synozur.com,,2026-06-25,bing,organic,(organic),5,4,0,0,0,2026-06-26 16:28:56.687771
5565a65a-dea2-464e-8d87-cc207de1b352,synozur.com,,2026-06-25,claude.ai,ai-assistant,(ai-assistant),1,1,0,0,0,2026-06-26 16:28:56.687771
3797cb78-c124-4f19-802e-1b3ea3fa6bec,synozur.com,,2026-06-25,google,organic,(organic),1,1,0,0,0,2026-06-26 16:28:56.687771
415a2eaa-f42d-4ce2-84af-333d13560c38,synozur.com,,2026-06-21,(direct),(none),(direct),43,43,0,0,0,2026-06-26 20:12:16.697378
82923b0c-a264-4737-ba8f-944b076577bf,synozur.com,,2026-06-25,(direct),(none),(direct),43,43,0,0,0,2026-06-26 20:12:16.697378
86bfc05e-33cc-4a5e-bab8-d74924de1504,synozur.com,,2026-06-22,(direct),(none),(direct),39,39,0,0,0,2026-06-26 20:12:16.697378
ae3b7d7c-1206-4297-84c2-279b4c41a485,synozur.com,,2026-06-19,(direct),(none),(direct),38,38,0,0,0,2026-06-26 20:12:16.697378
1717c879-bf23-4aa6-9d78-c3c386261df8,synozur.com,,2026-06-24,(direct),(none),(direct),38,37,0,0,0,2026-06-26 20:12:16.697378
fad028b0-dc96-4928-9f34-dd971fd480b1,synozur.com,,2026-06-23,(direct),(none),(direct),20,20,0,0,0,2026-06-26 20:12:16.697378
03c5284b-fac6-4534-9438-ce1200635d36,synozur.com,,2026-06-19,bing,organic,(organic),8,7,0,0,0,2026-06-26 20:12:16.697378
644fe8bf-3aaa-458b-a803-77d1979d3470,synozur.com,,2026-06-22,bing,organic,(organic),8,5,0,0,0,2026-06-26 20:12:16.697378
23c78937-a5ac-4abd-8379-ab757cdac868,synozur.com,,2026-06-23,bing,organic,(organic),8,4,0,0,0,2026-06-26 20:12:16.697378
42ace4df-2fea-4502-839a-6a15a5043569,synozur.com,,2026-06-25,facebook,social,polaris-055,8,6,0,0,0,2026-06-26 20:12:16.697378
f713696d-0f5b-4076-851c-0cb37b16ff70,synozur.com,,2026-06-22,google,organic,(organic),6,5,0,0,0,2026-06-26 20:12:16.697378
ef43466b-4044-4e93-a0ff-f9501a3449df,synozur.com,,2026-06-19,google,organic,(organic),5,5,0,0,0,2026-06-26 20:12:16.697378
ee24c700-0e61-4df4-a960-3ee1983a3908,synozur.com,,2026-06-24,bing,organic,(organic),5,5,0,0,0,2026-06-26 20:12:16.697378
de4363f7-2238-4cad-8b26-27686bc410d3,synozur.com,,2026-06-24,facebook,social,polaris-055,5,4,0,0,0,2026-06-26 20:12:16.697378
652beebd-0b14-48ce-af44-b48c6af346c0,synozur.com,,2026-06-25,bing,organic,(organic),5,4,0,0,0,2026-06-26 20:12:16.697378
d9c19087-1de8-462c-bf78-2436a8a51f23,synozur.com,,2026-06-30,facebook,social,polaris-055,1,1,0,0,0,2026-07-01 23:57:21.819233
98e245ad-0af8-484e-8297-22e1aed0dfe4,synozur.com,,2026-06-21,bing,organic,(organic),4,4,0,0,0,2026-06-26 20:12:16.697378
9ba1f382-0810-4d09-849b-c578ce386baa,synozur.com,,2026-06-19,linkedin,social,ai-availability-risk-readiness,2,2,0,0,0,2026-06-26 20:12:16.697378
0a65c1a7-c595-4a03-bd23-99ca685ec216,synozur.com,,2026-06-19,podmatch.com,referral,(referral),2,1,0,0,0,2026-06-26 20:12:16.697378
ef4f9c4c-99df-490c-a525-12f4c358f9ad,synozur.com,,2026-06-30,linkedin,social,2026-summer-of-copilot-week-1,1,1,0,0,0,2026-07-01 23:57:21.819233
5bda1364-c0c9-4bf5-8dfa-f3fb598c8473,synozur.com,,2026-06-30,linkedin,social,ai-availability-risk-readiness,1,1,0,0,0,2026-07-01 23:57:21.819233
9a7dbac0-b96a-4f24-bc81-16eb4a7160ae,synozur.com,,2026-06-22,chatgpt.com,ai-assistant,(ai-assistant),2,2,0,0,0,2026-06-26 20:12:16.697378
b7965dd5-fec9-4db2-810a-0880ea4d1589,synozur.com,,2026-06-23,linkedin.com,referral,(referral),2,2,0,0,0,2026-06-26 20:12:16.697378
39a7e24d-b1d1-4515-bfe1-5f1ebf947697,synozur.com,,2026-06-24,chatgpt.com,ai-assistant,(ai-assistant),2,2,0,0,0,2026-06-26 20:12:16.697378
b03e6881-5e26-4001-8cfe-8ab81b2bd8da,synozur.com,,2026-06-24,google,organic,(organic),2,2,0,0,0,2026-06-26 20:12:16.697378
afd8821f-20a0-4792-9a4f-c31e2395a50a,synozur.com,,2026-06-25,google,organic,(organic),2,2,0,0,0,2026-06-26 20:12:16.697378
70b48130-6b58-4515-9c36-14a6ac36472d,synozur.com,,2026-06-19,duckduckgo,organic,(organic),1,1,0,0,0,2026-06-26 20:12:16.697378
bda4f166-b415-4e20-bc65-338978586191,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,2026-06-30,linkedin,social,2026-summer-of-copilot-week-1,0,0,0,0,1,2026-07-01 00:52:26.134686
c005323c-6e73-463f-aecb-92893182dee6,synozur.com,,2026-06-21,(not set),(none),(not set),1,1,0,0,0,2026-06-26 20:12:16.697378
345e2f7f-2586-4173-86a2-29df5f896aff,synozur.com,,2026-06-21,linkedin,social,ai-availability-risk-readiness,1,1,0,0,0,2026-06-26 20:12:16.697378
0726e51b-248b-4826-8df5-54bcc24a2678,synozur.com,,2026-06-22,duckduckgo,organic,(organic),1,1,0,0,0,2026-06-26 20:12:16.697378
6e669104-3be0-4da4-bb90-ebe50153572f,synozur.com,,2026-06-22,linkedin.com,referral,(referral),1,1,0,0,0,2026-06-26 20:12:16.697378
41ec204e-f52c-4a8b-b85c-80779ac9b16c,synozur.com,,2026-06-22,statics.teams.cdn.office.net,referral,(referral),1,1,0,0,0,2026-06-26 20:12:16.697378
707c47eb-2d2f-46eb-8853-c34ec810b84d,synozur.com,,2026-06-23,ecosia.org,organic,(organic),1,1,0,0,0,2026-06-26 20:12:16.697378
0393e6c9-617c-427f-8043-c9baf105c189,synozur.com,,2026-06-23,google,organic,(organic),1,1,0,0,0,2026-06-26 20:12:16.697378
ff9156a7-f4fd-4230-9df7-5327e1c04a62,synozur.com,,2026-06-23,statics.teams.cdn.office.net,referral,(referral),1,1,0,0,0,2026-06-26 20:12:16.697378
d1ffb4e6-37e5-49a3-a924-aea48d6b84a7,synozur.com,,2026-06-24,linkedin,social,ai-availability-risk-readiness,1,1,0,0,0,2026-06-26 20:12:16.697378
ace77ae1-d0e0-457f-96d1-460d27b27366,synozur.com,,2026-06-24,linkedin.com,referral,(referral),1,1,0,0,0,2026-06-26 20:12:16.697378
41e51a61-9698-4938-89d4-1832c5bfd3dc,synozur.com,,2026-06-24,podmatch.com,referral,(referral),1,1,0,0,0,2026-06-26 20:12:16.697378
38886950-cc3e-4699-a6fc-c11f931a2dbe,synozur.com,,2026-06-25,claude.ai,ai-assistant,(ai-assistant),1,1,0,0,0,2026-06-26 20:12:16.697378
5f07ff5e-2e4e-4200-89e4-0dea33c5b1ca,synozur.com,,2026-06-22,statics.teams.cdn.office.net,referral,(referral),1,1,0,0,0,2026-06-27 18:42:47.431756
565111bb-7aa4-46cf-908f-b503a19cbde0,synozur.com,,2026-06-23,ecosia.org,organic,(organic),1,1,0,0,0,2026-06-27 18:42:47.431756
